NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
437	4.413	24.672	2.094	18.898	0.103	0.979	2000.0
438	4.789	27.058	2.427	23.647	0.099	0.971	2000.0
439	2.657	14.769	1.186	10.399	0.062	0.994	2000.0
440	3.402	19.171	1.713	15.875	0.067	0.986	3000.0
441	5.331	28.979	2.427	21.752	0.145	0.971	3000.0
442	4.12	23.287	2.054	19.455	0.093	0.976	4000.0
443	3.728	20.901	1.792	15.357	0.085	0.992	5000.0
444	3.925	22.096	1.81	16.246	0.102	0.986	4000.0
445	3.03	17.296	1.501	13.383	0.091	0.99	4000.0
446	3.501	19.377	1.749	14.9	0.075	0.987	2000.0
447	4.125	22.398	2.142	18.783	0.085	0.98	2000.0
448	3.78	20.953	1.715	15.414	0.087	0.986	3000.0
449	3.649	20.016	1.601	14.722	0.112	0.984	6000.0
450	4.045	22.279	2.021	17.816	0.087	0.983	4000.0
451	3.572	19.888	1.733	16.681	0.072	0.984	2000.0
452	3.54	20.048	1.604	14.291	0.092	0.989	3000.0
453	5.125	29.311	2.545	23.219	0.122	0.966	5000.0
454	4.205	23.739	2.051	18.629	0.105	0.98	3000.0
455	3.018	16.706	1.453	12.753	0.066	0.992	3000.0
456	4.625	25.868	2.298	20.969	0.102	0.978	4000.0
457	3.553	19.851	1.681	16.178	0.074	0.981	2000.0
458	3.87	21.849	2.132	18.809	0.074	0.98	2000.0
459	3.634	20.964	1.77	16.288	0.069	0.988	3000.0
460	4.409	24.32	2.132	19.104	0.134	0.976	3000.0
461	3.359	18.571	1.766	14.944	0.067	0.988	3000.0
462	4.358	23.971	2.013	18.022	0.121	0.982	2000.0
463	3.914	21.778	1.802	16.43	0.092	0.987	2000.0
464	3.939	22.38	2.122	19.833	0.063	0.98	2000.0
465	3.441	19.162	1.646	14.326	0.084	0.988	3000.0
466	3.57	19.784	1.695	15.138	0.09	0.987	5000.0
467	2.431	13.839	1.213	10.721	0.057	0.993	5000.0
