NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
49	10.732	40.234	4.793	39.905	0.161	0.906	2000.0
50	11.672	43.636	4.46	36.678	0.214	0.918	2000.0
51	11.368	42.48	4.467	38.905	0.184	0.903	3000.0
52	9.459	35.144	3.873	33.088	0.149	0.93	3000.0
53	11.27	42.155	4.279	36.447	0.197	0.92	2000.0
54	12.069	45.095	5.074	42.412	0.176	0.893	2000.0
55	10.455	38.929	4.518	38.201	0.155	0.909	2000.0
56	10.539	39.368	4.398	37.096	0.156	0.918	4000.0
57	10.777	40.286	4.535	39.552	0.153	0.905	2000.0
58	9.99	37.357	4.126	35.193	0.147	0.928	2000.0
59	10.66	39.764	4.352	36.24	0.175	0.923	3000.0
60	10.469	39.376	4.348	38.835	0.148	0.909	2000.0
61	12.333	46.031	4.878	41.776	0.193	0.887	3000.0
62	9.026	33.574	3.759	31.5	0.136	0.945	4000.0
63	11.541	43.246	4.918	41.479	0.191	0.89	2000.0
64	12.883	48.065	5.484	44.509	0.222	0.881	2000.0
65	13.538	50.57	5.883	47.629	0.261	0.849	2000.0
66	11.137	41.518	4.826	39.146	0.168	0.908	2000.0
67	8.681	32.196	3.392	29.402	0.12	0.94	3000.0
68	11.464	42.714	4.702	40.113	0.204	0.903	3000.0
69	11.376	42.336	5.464	40.965	0.208	0.888	3000.0
70	11.054	41.124	4.551	39.702	0.202	0.901	2000.0
71	11.691	43.547	4.829	39.759	0.174	0.911	2000.0
72	10.918	40.726	4.411	38.005	0.179	0.904	4000.0
73	11.631	43.464	5.075	41.68	0.175	0.898	2000.0
74	10.566	39.458	4.091	35.878	0.172	0.915	2000.0
75	13.446	50.442	5.691	48.083	0.24	0.853	3000.0
76	12.503	46.737	5.416	43.729	0.21	0.887	4000.0
77	11.065	41.329	4.491	38.537	0.176	0.907	2000.0
78	11.629	43.336	4.77	39.943	0.192	0.903	2000.0
79	9.369	35.057	4.079	34.007	0.158	0.926	3000.0
80	11.903	44.559	4.88	41.578	0.206	0.9	2000.0
81	10.109	37.956	3.874	34.11	0.149	0.927	2000.0
82	11.182	41.957	4.666	39.232	0.174	0.905	3000.0
83	9.187	34.304	3.633	32.573	0.143	0.936	2000.0
84	13.048	48.89	5.518	44.599	0.197	0.881	3000.0
85	10.834	40.479	4.264	36.526	0.183	0.909	4000.0
86	10.73	40.152	4.451	37.381	0.184	0.913	2000.0
87	12.442	46.385	5.475	44.53	0.234	0.877	4000.0
88	10.187	37.819	4.143	34.683	0.159	0.93	2000.0
89	10.358	38.662	4.11	34.152	0.178	0.927	2000.0
90	11.571	43.285	4.586	40.233	0.189	0.899	3000.0
91	11.844	44.246	4.764	39.583	0.186	0.896	4000.0
92	11.237	42.059	4.5	39.288	0.177	0.909	2000.0
93	13.386	49.722	5.711	45.393	0.247	0.886	2000.0
94	11.203	41.641	4.829	40.351	0.159	0.909	2000.0
95	10.039	37.484	3.96	31.985	0.175	0.935	3000.0
